;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
243;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
244;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
245;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
246;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
247;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
248;Auctions;##############################;;;;;;;;
249;Auctions;##############################;;;;;;;;
250;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2206.0;-1.0
251;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
252;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
253;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
254;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
255;Auctions;##############################;;;;;;;;
256;Auctions;##############################;;;;;;;;
257;Auctions;##############################;;;;;;;;
258;Auctions;##############################;;;;;;;;
259;Auctions;##############################;;;;;;;;
260;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;0.0;2.0
261;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
262;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
263;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
264;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
265;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
266;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
267;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
268;Auctions;##############################;;;;;;;;
269;Auctions;##############################;;;;;;;;
270;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2206.0;-1.0
271;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
272;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
273;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
274;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
275;Auctions;##############################;;;;;;;;
276;Auctions;##############################;;;;;;;;
277;Auctions;##############################;;;;;;;;
278;Auctions;##############################;;;;;;;;
279;Auctions;##############################;;;;;;;;
280;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;0.0;3.0
281;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
282;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
283;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
284;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
285;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
286;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
287;Auctions;##############################;;;;;;;;
288;Auctions;##############################;;;;;;;;
289;Auctions;##############################;;;;;;;;
290;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2191.0;-1.0
291;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
292;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
293;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
294;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
295;Auctions;##############################;;;;;;;;
296;Auctions;##############################;;;;;;;;
297;Auctions;##############################;;;;;;;;
298;Auctions;##############################;;;;;;;;
299;Auctions;##############################;;;;;;;;
300;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;0.0;3.0
301;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
302;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
303;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
304;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
305;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
306;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
307;Auctions;##############################;;;;;;;;
308;Auctions;##############################;;;;;;;;
309;Auctions;##############################;;;;;;;;
310;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2191.0;-1.0
311;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
312;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
313;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
314;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
315;Auctions;##############################;;;;;;;;
316;Auctions;##############################;;;;;;;;
317;Auctions;##############################;;;;;;;;
318;Auctions;##############################;;;;;;;;
319;Auctions;##############################;;;;;;;;
320;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;0.0;3.0
321;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
322;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
323;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
324;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
325;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
326;Auctions;##############################;;;;;;;;
327;Auctions;##############################;;;;;;;;
