;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
105;Tick;106;lvmh;0.151;0.14;0.151;0;0.2753809690475464;137453;0.0;0.10079609534704784
106;Tick;107;lvmh;0.151;0.14;0.151;0;0.27462807297706604;137453;0.0;0.10032174928173924
107;Tick;108;lvmh;0.151;0.14;0.151;0;0.27387699484825134;137453;0.0;0.09985403702591215
108;Tick;109;lvmh;0.151;0.14;0.151;0;0.27312758564949036;137453;0.0;0.09939280539598945
109;Tick;110;lvmh;0.151;0.14;0.151;0;0.2723807394504547;137453;0.0;0.09893790611475706
110;Tick;111;lvmh;0.151;0.14;0.151;0;0.27163630723953247;137453;0.0;0.09848919561116275
111;Tick;112;lvmh;0.151;0.14;0.151;0;0.2708939015865326;137453;0.0;0.09804653483001405
112;Tick;113;lvmh;0.151;0.14;0.151;0;0.2701544463634491;137453;0.0;0.09760978905099447
113;Tick;114;lvmh;0.151;0.14;0.151;0;0.2694172263145447;137453;0.0;0.0971788277164693
114;Tick;115;lvmh;0.151;0.14;0.151;0;0.26868322491645813;137453;0.0;0.09675352426757311
115;Tick;116;lvmh;0.151;0.14;0.151;0;0.2679521441459656;137453;0.0;0.0963337559881195
116;Tick;117;lvmh;0.151;0.14;0.151;0;0.2672240734100342;137453;0.0;0.09591940385589406
117;Tick;118;lvmh;0.151;0.14;0.151;0;0.26649925112724304;137453;0.0;0.09551035240091646
118;Tick;119;lvmh;0.151;0.14;0.151;0;0.265777587890625;137453;0.0;0.09510648957029935
119;Tick;120;lvmh;0.151;0.14;0.151;0;0.265059232711792;137453;0.0;0.09470770659933063
120;Tick;121;lvmh;0.151;0.14;0.151;0;0.26434457302093506;137453;0.0;0.09431389788845379
121;Tick;122;lvmh;0.151;0.14;0.151;0;0.2636330723762512;137453;0.0;0.09392496088582948
122;Tick;123;lvmh;0.151;0.14;0.151;0;0.2629249691963196;137453;0.0;0.09354079597517555
123;Tick;124;lvmh;0.151;0.14;0.151;0;0.262220561504364;137453;0.0;0.09316130636860795
124;Tick;125;lvmh;0.151;0.14;0.151;0;0.2615198493003845;137453;0.0;0.09278639800423358
125;Tick;126;lvmh;0.151;0.14;0.151;0;0.26082247495651245;137453;0.0;0.09241597944822483
126;Tick;127;lvmh;0.151;0.14;0.151;0;0.2601289749145508;137453;0.0;0.09204996180117184
127;Tick;128;lvmh;0.151;0.14;0.151;0;0.2594389021396637;137453;0.0;0.09168825860847368
128;Tick;129;lvmh;0.151;0.14;0.151;0;0.25875306129455566;137453;0.0;0.09133078577457461
129;Tick;130;lvmh;0.151;0.14;0.151;0;0.2580704689025879;137453;0.0;0.09097746148084603
130;Tick;131;lvmh;0.151;0.14;0.151;0;0.2573918402194977;137453;0.0;0.09062820610693731
131;Tick;132;lvmh;0.151;0.14;0.151;0;0.25671666860580444;137453;0.0;0.09028294215542218
132;Tick;133;lvmh;0.151;0.14;0.151;0;0.25604549050331116;137453;0.0;0.08994159417957695
133;Tick;134;lvmh;0.151;0.14;0.151;0;0.2553783059120178;137453;0.0;0.08960408871413746
134;Tick;135;lvmh;0.151;0.14;0.14;400;0.25471463799476624;137853;0.0728476345539093;0.08927035420889393
135;Tick;136;lvmh;0.142;0.14;0.14;78;0.25378015637397766;137931;0.0;0.08921797814521178
136;Tick;137;lvmh;0.16;0.14;0.16;8241;0.2528556287288666;146172;-0.1428571194410324;0.08889013176024921
137;Tick;138;lvmh;0.17;0.14;0.17;1157;0.2531072795391083;147329;-0.06250003725290298;0.08930092866553478
138;Tick;139;lvmh;0.2;0.14;0.2;2869;0.25499898195266724;150198;-0.1764705926179886;0.08908779744039093
139;Tick;140;lvmh;0.2;0.14;0.2;5900;0.2658064663410187;156098;0.0;0.08987912102048609
140;Tick;141;lvmh;0.2;0.14;0.2;0;0.2758884131908417;156098;0.0;0.08956031985291175
141;Tick;142;lvmh;0.2;0.14;0.2;0;0.2853308320045471;156098;0.0;0.08924488654460411
142;Tick;143;lvmh;0.2;0.14;0.2;0;0.2942037880420685;156098;0.0;0.08893276222349694
143;Tick;144;lvmh;0.2;0.14;0.2;0;0.3025663197040558;156098;0.0;0.08862388944801868
144;Tick;145;lvmh;0.2;0.14;0.2;0;0.3104671239852905;156098;0.0;0.08831821216271665
145;Tick;146;lvmh;0.2;0.14;0.2;0;0.3179474174976349;156098;0.0;0.08801567565555393
146;Tick;147;lvmh;0.2;0.14;0.2;0;0.3250443935394287;156098;0.0;0.08771622651680722
147;Tick;148;lvmh;0.2;0.14;0.2;0;0.33178821206092834;156098;0.0;0.08741981259948335
148;Tick;149;lvmh;0.2;0.14;0.2;0;0.3382059931755066;156098;0.0;0.08712638298120312
149;Tick;150;lvmh;0.2;0.14;0.2;0;0.3443225026130676;156098;0.0;0.0868358879274759
150;Tick;151;lvmh;0.2;0.14;0.2;0;0.3501587510108948;156098;0.0;0.08654827885631565
151;Tick;152;lvmh;0.2;0.14;0.2;0;0.3557334542274475;156098;0.0;0.08626350830413586
152;Tick;153;lvmh;0.2;0.14;0.2;0;0.3610645532608032;156098;0.0;0.08598152989286567
153;Tick;154;lvmh;0.2;0.14;0.2;0;0.36616650223731995;156098;0.0;0.08570229829824515
154;Tick;155;lvmh;0.2;0.14;0.2;0;0.3710534870624542;156098;0.0;0.08542576921924386
155;Tick;156;lvmh;0.2;0.14;0.2;0;0.3757382035255432;156098;0.0;0.08515189934855114
156;Tick;157;lvmh;0.23;0.14;0.23;186568;0.38023245334625244;342666;-0.15000000596046448;0.08488064634410857
157;Tick;158;lvmh;0.211;0.14;0.21;5800;0.3928416073322296;348466;0.08695656806230545;0.08534204472061359
158;Tick;159;lvmh;0.225;0.14;0.225;2188;0.39906322956085205;350654;-0.0714285746216774;0.08542570658188338
159;Tick;160;lvmh;0.225;0.14;0.225;0;0.4090275168418884;350654;0.0;0.08529265695977999
160;Tick;161;lvmh;0.225;0.14;0.225;0;0.41849908232688904;350654;0.0;0.08502824241961524
161;Tick;162;lvmh;0.225;0.14;0.225;0;0.42751792073249817;350654;0.0;0.08476627135901965
162;Tick;163;lvmh;0.225;0.14;0.225;0;0.43611887097358704;350654;0.0;0.08450670638203202
